PageUrl,ProductLink,ProductTitle,Manufacture,Image Url,ProductPrice,ASIN,Description,Extra Description
"https://www.amazon.com/s/ref=sr_pg_1?rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A6358539011%2Cn%3A6358540011%2Cp_85%3A2470955011%2Cp_36%3A140000-600000&bbn=6358540011&ie=UTF8&qid=1549119268&lo=fashion
",https://www.amazon.com/Casio-G-Shock-MRGG2000R-1A-Titanium-Bluetooth/dp/B07LDLWN7J/ref=sr_1_1/147-1723877-0235427?s=apparel&rps=1&ie=UTF8&qid=1549228395&sr=1-1&nodeID=6358540011&psd=1&refinements=p_85%3A2470955011%2Cp_36%3A140000-600000,Casio G-Shock MR-G MRGG2000R-1A Titanium Tough Solar Bluetooth Watch,Casio,https://images-na.ssl-images-amazon.com/images/I/61ZUZb1XpKL._UL1200_.jpg,"$2,800.00",B07LDLWN7J,,"Brand, Seller, or Collection Name:Casio
Part Number:MRGG2000R-1A
Display Type:Analog
Case diameter:5.5 centimeters
Bezel material:Titanium case with black DLC plated bezel
Special features:Bluetooth Smartphone Sync, Sapphire Crystal, Super Illuminator, Carbon Hands, Anti-Vibration Screw
Water resistant depth:200 Meters
"
PageUrl,ProductLink,ProductTitle,Manufacture,Image Url,ProductPrice,ASIN,Description,Extra Description
https://www.amazon.com/s/ref=sr_nr_p_36_0?rnid=2661611011&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A6358543011%2Cn%3A6358544011%2Cp_85%3A2470955011%2Cp_36%3A140000-99999999&qid=1549119149&bbn=6358544011&low-price=1%2C400&high-price=6000,https://www.amazon.com/Cartier-Automatic-Silver-Opaline-WSRN0021/dp/B077QPVPRL/ref=sr_1_3/136-8940271-2225933?s=apparel&rps=1&ie=UTF8&qid=1549281861&sr=1-3&nodeID=6358544011&psd=1&refinements=p_85%3A2470955011%2Cp_36%3A140000-600000,Cartier Ronde Solo Automatic Silver Opaline Dial Ladies Watch WSRN0021,Cartier,https://images-na.ssl-images-amazon.com/images/I/51xBAUUwa1L._UL1000_.jpg,"$2,932.00",B077QPVPRL,Cartier Ronde Solo Automatic Silver Opaline Dial Ladies Watch WSRN0021,"Brand, Seller, or Collection Name:Cartier
Model number:WSRN0021
Part Number:WSRN0021
Item Shape:Round
Dial window material type:Anti reflective sapphire
Display Type:Analog
Clasp:Deployment-buckle
Case material:Stainless steel
Case diameter:36 millimeters
Case Thickness:9.46
Band Material:(Calfskin) Leather
Band Color:Black
Dial color:Silver Opaline
Bezel material:Fixed
Special features:Fixed Bezel
Movement:Automatic self wind
Water resistant depth:30 Meters
"
https://www.amazon.com/s/ref=sr_nr_p_36_0?rnid=2661611011&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A6358543011%2Cn%3A6358544011%2Cp_85%3A2470955011%2Cp_36%3A140000-99999999&qid=1549119149&bbn=6358544011&low-price=1%2C400&high-price=6000,https://www.amazon.com/MICHELE-Womens-MWW06P000100-Analog-Display/dp/B00685OWNC/ref=sr_1_4/136-8940271-2225933?s=apparel&rps=1&ie=UTF8&qid=1549281861&sr=1-4&nodeID=6358544011&psd=1&refinements=p_85%3A2470955011%2Cp_36%3A140000-600000,MICHELE Women's MWW06P000100 Deco Analog Display Swiss Quartz Gold Watch,MICHELE,https://images-na.ssl-images-amazon.com/images/I/91g%2BJXwubVL._UL1500_.jpg,"$1,695.00",B00685OWNC,"White Mother Of Pearl Dial. 120 Diamonds Set on Bezel. Chronograph. Swiss Quartz Movement. Polished Gold Tone Case & Bracelet. Mineral Crystal. Water Resistant 50 Meters. Case 33mm x 46mm. Deployment Buckle.Inspired by his daughter Michele, second-generation watchmaker Jack Barouh began his rise to prominence in the watch industry by creating a line of colorful children's watches that were extremely well received. Sophisticated grown-up designs followed, and ultimately a new fine watch brand was born. Michele Watches made its debut with the celebrated CSX Diamond collection, the first of many collections to follow.Michele Barouh herself joined the company in 2000, having quite literally grown up in the business, and now serves as its Creative Director. Michele Watches transcends global boundaries, relying on international designers to create fine quality timepieces for the world market. Sophisticated and unique, the MW Collection displays cutting-edge fashion, an unwavering attention to detail, and an emphasis on quality and value that honors three generations of watchmaking tradition.See all Product description","Brand, Seller, or Collection Name:MICHELE
Model number:MWW06P000100
Part Number:MWW06P000100
Model Year:2016
Item Shape:rectangle
Dial window material type:Synthetic sapphire
Display Type:Analog
Clasp:deployant-clasp-with-double-push-button
Case material:Stainless steel
Case diameter:33 millimeters
Case Thickness:10.5 millimeters
Band Material:Stainless steel
Band length:Women's Standard
Band width:18 millimeters
Band Color:Gold
Dial color:Mother of pearl
Bezel material:Stainless steel
Bezel function:Stationary
Calendar:Date
Special features:Chronograph
Item weight:14.40 Ounces
Movement:Swiss quartz
Water resistant depth:165 Feet
"
https://www.amazon.com/s/ref=sr_nr_p_36_0?rnid=2661611011&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A6358543011%2Cn%3A6358544011%2Cp_85%3A2470955011%2Cp_36%3A140000-99999999&qid=1549119149&bbn=6358544011&low-price=1%2C400&high-price=6000,https://www.amazon.com/TAG-Heuer-WAT2350-BB0957-Display-Automatic/dp/B00E32RWB6/ref=sr_1_11/136-8940271-2225933?s=apparel&rps=1&ie=UTF8&qid=1549281861&sr=1-11&nodeID=6358544011&psd=1&refinements=p_85%3A2470955011%2Cp_36%3A140000-600000,TAG Heuer Women's WAT2350.BB0957 Link Analog Display Swiss Automatic Silver Watch,TAG Heuer,https://images-na.ssl-images-amazon.com/images/I/81-XGVczROL._UL1500_.jpg,"$2,375.00",B00E32RWB6,"- WITH MANUFACTURER SERIAL NUMBERS- Silver Guilloche Diamond Dial- 11 Diamonds Set on Dial (0.10 ct)- Date Feature- Self Winding Automatic Movement- Guaranteed Authentic- Certificate of Authenticity- Scratch Resistant Sapphire Crystal- Polished Stainless Steel with 18K Yellow Gold Case & Bracelet- Manufacturer Box & Manual- 100 Meters / 330 Feet Water Resistant- 34.5mm = 1 3/8"" Case, 6"" Adjustable Bracelet- Sapphire Crystal Exhibition Case Back- Deployment BuckleAlso Known As Womens Model # WAT2350BB0957TAG Heuer traces its roots to the small Swiss village of St-Imier where, in 1860, a watchmaker named Edouard Heuer opened his first shop. His vision was to create remarkable timepieces that pushed the envelope of innovation and precision. The company's reputation grew, and Heuer's first patent for a chronograph mechanism in 1882 was followed by a long list of achievements: the first stopwatch accurate to 1/100 of a second, the first dashboard stopwatch for race cars, the first miniature electronic timekeeping device accurate to 1/1000th of a second, and the first automatic movement with a microrotor, to name just a few.Over the years, Heuer's reputation for gold-standard precision earned the company the privilege of providing official timing services for a number of world-class competitive sporting events, including the Olympic Games, the FIS Ski World Cup, and the FIA Formula 1 World Championships. To this day, TAG Heuer maintains a close association with the world of competitive sports and enjoys a devoted following among sports celebrities and enthusiasts. In 1985, Heuer joined the TAG (Techniques D'Avant-Garde) group, and the TAG Heuer name and logo were created. Now one of the most recognized and sought-after watch brands in the world, TAG Heuer continues its reputation of innovative design and technological excellence, creating prestigious timepieces that are always at the cutting edge of precision, reliability and style.See all Product description","Brand, Seller, or Collection Name:TAG Heuer
Model number:WAT2350.BB0957
Part Number:WAT2350.BB0957
Model Year:2014
Item Shape:Round
Dial window material type:Anti reflective sapphire
Display Type:Analog
Clasp:Deployment-clasp
Metal stamp:18k
Case material:Steel and 18k gold
Case diameter:32 millimeters
Case Thickness:11 millimeters
Band Material:Stainless steel
Band length:Women's Standard
Band width:18 millimeters
Band Color:Silver
Dial color:Silver
Bezel material:Gold tone
Bezel function:Stationary
Calendar:Date
Special features:Date, Hour, Minute, Second
Item weight:4.32 Ounces
Movement:Automatic
Water resistant depth:330 Feet
"
https://www.amazon.com/s/ref=sr_nr_p_36_0?rnid=2661611011&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A6358543011%2Cn%3A6358544011%2Cp_85%3A2470955011%2Cp_36%3A140000-99999999&qid=1549119149&bbn=6358544011&low-price=1%2C400&high-price=6000,https://www.amazon.com/Omega-DeVille-Prestige-Stainless-42410276053001/dp/B00SQUSO40/ref=sr_1_7/136-8940271-2225933?s=apparel&rps=1&ie=UTF8&qid=1549281861&sr=1-7&nodeID=6358544011&psd=1&refinements=p_85%3A2470955011%2Cp_36%3A140000-600000,Omega DeVille Prestige Blue Diamond Dial Stainless Steel Ladies Watch 42410276053001,Omega,https://images-na.ssl-images-amazon.com/images/I/61FZNrm5fkL._UL1000_.jpg,"$2,052.38",B00SQUSO40,Omega DeVille Prestige Blue Diamond Dial Stainless Steel Ladies Watch 42410276053001,"Brand, Seller, or Collection Name:Omega
Part Number:424.10.27.60.53.001
Item Shape:Round
Display Type:Analog
Clasp:deployant clasp
Case diameter:27.4 millimeters
Band Material:Stainless Steel
Band Color:Blue, Silver
Dial color:Blue
Bezel material:Fixed Stainless Steel
Item weight:15.84 Ounces
Movement:Quartz
Water resistant depth:30 Meters
"
https://www.amazon.com/s/ref=sr_nr_p_36_0?rnid=2661611011&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A6358543011%2Cn%3A6358544011%2Cp_85%3A2470955011%2Cp_36%3A140000-99999999&qid=1549119149&bbn=6358544011&low-price=1%2C400&high-price=6000,https://www.amazon.com/Heuer-Aquaracer-Mother-Ladies-WBD1320-BB0320/dp/B077717LHQ/ref=sr_1_8/136-8940271-2225933?s=apparel&rps=1&ie=UTF8&qid=1549281861&sr=1-8&nodeID=6358544011&psd=1&refinements=p_85%3A2470955011%2Cp_36%3A140000-600000,Tag Heuer Aquaracer Mother of Pearl Dial Ladies Two Tone Watch WBD1320.BB0320,TAG Heuer,https://images-na.ssl-images-amazon.com/images/I/51gFi553-NL._UL1000_.jpg,"$1,689.44",B077717LHQ,"New! Tag Heuer Aquaracer Mother of Pearl Dial Ladies Two Tone Watch WBD1320.BB0320- With Manufacturer Serial Numbers- Mother of Pearl White Dial- Index Hour Markers- Date Feature- Battery Operated Quartz Movement- Guaranteed Authentic- Certificate of Authenticity- Manufacturer Box & Manual- Brushed with Polished 18K Yellow Gold with Stainless Steel Case- Brushed with Polished 18K Yellow Gold with Stainless Steel Bracelet- Scratch Resistant Sapphire Crystal- 300 Meters / 1000 Feet Water Resistant- 32mm = 1 1/4"" Case, 6"" Adjustable Bracelet- Uni-Directional Rotating Bezel- Luminescent Hands & Hour Markers- Screw Down Crown & Case Back- Stainless Steel Deployment Buckle with Diving ExtensionAlso Known As Model # WBD1320BB0320 / WBD1320 BB0320","Brand, Seller, or Collection Name:TAG Heuer
Model number:WBD1320.BB0320
Part Number:WBD1320.BB0320
Item Shape:Round
Dial window material type:Anti reflective sapphire
Display Type:Analog
Clasp:Deployment Buckle
Case diameter:32 millimeters
Band Material:Stainless Steel and 18kt Yellow Gold
Band width:20 millimeters
Band Color:yellow gold, White
Dial color:Mother of Pearl
Bezel material:Uni-directional Rotating
Calendar:Date
Special features:Screw down crown, Luminescent Hands
Item weight:2.8 Pounds
Movement:Quartz
Water resistant depth:300 Meters
"
"https://www.amazon.com/s/ref=sr_pg_1?rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A6358539011%2Cn%3A6358540011%2Cp_85%3A2470955011%2Cp_36%3A140000-600000&bbn=6358540011&ie=UTF8&qid=1549119268&lo=fashion
",https://www.amazon.com/TAG-Heuer-WAR201A-BA0723-Display-Automatic/dp/B00J48W7AK/ref=sr_1_47?s=apparel&rps=1&ie=UTF8&qid=1549281861&sr=1-47&nodeID=6358540011&psd=1&refinements=p_85%3A2470955011%2Cp_36%3A140000-600000,TAG Heuer Men's WAR201A.BA0723 Analog Display Automatic Self Wind Silver Watch,TAG Heuer,https://images-na.ssl-images-amazon.com/images/I/81p06M4KRYL._UL1500_.jpg,,B00J48W7AK,"- WITH MANUFACTURER SERIAL NUMBERS- Black Dial- Day/Date Feature- Self Winding Automatic Calibre 5 Movement- Sapphire Crystal Exhibition Case Back- Guaranteed Authentic- Certificate of Authenticity- Manufacturer Box & Manual- Brushed with Polished Steel Case & Bracelet- Scratch Resistant Sapphire Crystal- 100 Meters / 330 Feet Water Resistant- 41mm = 1 5/8"" Case, 6.5"" Adjustable Bracelet- Deployment Buckle- Fixed Bezel- Luminescent HandsAlso Known As Model # WAR201ABA0723 / WAR201A BA0723Stainless steel case, Stainless steel bracelet, Black dial, Automatic movement, Scratch resistant sapphire, Water resistant up to 10 ATM - 100 meters - 330 feet","Brand, Seller, or Collection Name:TAG Heuer
Model number:WAR201A.BA0723
Part Number:WAR201A.BA0723
Model Year:2016
Item Shape:Round
Dial window material type:Synthetic sapphire
Display Type:Analog
Clasp:fold-over-clasp with double push botton
Case material:Stainless steel
Case diameter:41 millimeters
Case Thickness:14 millimeters
Band Material:Stainless steel
Band length:Men's Standard
Band width:20 millimeters
Band Color:Silver
Dial color:Black
Bezel material:Stainless steel
Bezel function:Stationary
Calendar:Date
Special features:Day/Date Feature
Item weight:1.1 Pounds
Movement:Automatic self wind
Water resistant depth:330 Feet
"
"https://www.amazon.com/s/ref=sr_pg_1?rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A6358539011%2Cn%3A6358540011%2Cp_85%3A2470955011%2Cp_36%3A140000-600000&bbn=6358540011&ie=UTF8&qid=1549119268&lo=fashion
",https://www.amazon.com/Omega-DeVille-424-13-40-20-02-001-Stainless-Automatic/dp/B00K81199M/ref=sr_1_32?s=apparel&rps=1&ie=UTF8&PageUrl,ProductLink,ProductTitle,Manufacture,Image Url,ProductPrice,ASIN,Description,Extra Description
https://www.amazon.com/s/ref=sr_nr_p_36_0?rnid=2661611011&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A6358543011%2Cn%3A6358544011%2Cp_85%3A2470955011%2Cp_36%3A140000-99999999&qid=1549119149&bbn=6358544011&low-price=1%2C400&high-price=6000,https://www.amazon.com/Omega-Seamaster-Terra-Womens-Watch/dp/B07HSTBCY5/ref=sr_1_2/136-5722439-4101303?s=apparel&rps=1&ie=UTF8&qid=1549283344&sr=1-2&nodeID=6358544011&psd=1&refinements=p_85%3A2470955011%2Cp_36%3A140000-600000,Omega Seamaster Aqua Terra 18k Rose Gold Women's Watch - 231.20.30.20.55.001,Omega,https://images-na.ssl-images-amazon.com/images/I/51PeuQ02twL._UL1000_.jpg,"$5,175.00",B07HSTBCY5,"- With Manufacturer Serial Numbers- Swiss Made- Mother of Pearl White Dial Set with Diamonds- 11 Diamond Hour Markers- 60 Second / Minute Track Around Dial- Polished Solid 18k Rose Gold Bezel- Date Feature- 50 Hour Power Reserve- Self-winding Automatic Movement&nbsp &nbsp COSC Chronometer CertifiedCo-Axial Escapement- Omega Caliber 8520- Vibrations Per Hour: 25,200- Guaranteed Authentic- Certificate of Authenticity- Manufacturer Box & Manual- Brushed Stainless Steel with Polished Solid 18k Rose Gold Case- Brushed Solid 18k Rose Gold with Stainless Steel Bracelet- Scratch Resistant Sapphire Crystal- 150 Meters / 500 Feet Water-Resistant- 30mm = 1 1/8"" Case, 6"" Adjustable Bracelet- Case Thickness: 10mm- Inlet Size: 14mm- Fixed Bezel- Sapphire Crystal Exhibition Case Back- Luminescent Hands- Screw Down Crown & Case Back- Stainless Steel Deployment Buckle","Brand, Seller, or Collection Name:Omega
Model number:23120302055001
Part Number:231.20.30.20.55.001
Item Shape:Round
Dial window material type:Anti reflective sapphire
Display Type:Analog
Clasp:Deployment-buckle
Case material:Stainless steel
Case diameter:30 millimeters
Band Material:Stainless Steel, Rose Gold
Band width:14 millimeters
Band Color:White
Dial color:Mother of pearl
Bezel material:Rose Gold
Calendar:Date
Special features:Screw down crown, Transparent case back, Diamonds, COSC Chronometer Certified, Swiss Made
Movement:Swiss automatic
Water resistant depth:150 Meters
"
"https://www.amazon.com/s/ref=sr_pg_1?rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A6358539011%2Cn%3A6358540011%2Cp_85%3A2470955011%2Cp_36%3A140000-600000&bbn=6358540011&ie=UTF8&qid=1549119268&lo=fashion
",https://www.amazon.com/Omega-212-30-44-50-01-001-Seamaster-Automatic-Watch/dp/B00FWJZM3Y/ref=sr_1_45/141-9690896-8903001?s=apparel&rps=1&ie=UTF8&qid=1549283350&sr=1-45&nodeID=6358540011&psd=1&refinements=p_85%3A2470955011%2Cp_36%3A140000-600000,Omega 212.30.44.50.01.001 Seamaster Automatic Mens Watch - Black Dial,Omega,https://images-na.ssl-images-amazon.com/images/I/61nNldzqI3L._UL1000_.jpg,"$3,799.00",B00FWJZM3Y,"- WITH MANUFACTURER SERIAL NUMBERS- Black Dial with Red Accents- Black Ceramic Bezel- Chronograph Feature- Self Winding Automatic Chronometer Movement- Column-Wheel Mechanism & Co-Axial Escapement- Unidirectional Rotating Bezel- Guaranteed Authentic- Certificate of Authenticity- Stainless Steel Case & Bracelet- Scratch Resistant Sapphire Crystal- Manufacturer Box & Manual- 300 Meters / 1000 Feet Water Resistant- 44mm = 1 3/4"" Case, 7"" Adjustable Bracelet- Deployment Buckle- Luminescent Hands and Markers- Screw Down Crown & CasebackAlso Known As Gents Model # 21230445001001","Brand, Seller, or Collection Name:Omega
Model number:212.30.44.50.01.001
Part Number:212.30.44.50.01.001
Item Shape:Round
Dial window material type:sapphire-crystal
Display Type:Analog
Clasp:
Case material:Stainless steel
Case diameter:44.50
Case Thickness:13
Band Material:Stainless steel
Band width:22.90
Band Color:Red
Dial color:Black
Bezel material:Uni-directional Rotating Stainless Steel with Blac
Special features:1 year seller's warrany, water resistant
Item weight:1.1 Pounds
Movement:Swiss automatic
"
